distance_m,combined_delta_s,wp1232_delta_s,wp2501_delta_s,expected_additive_delta_s,interaction_s,interaction_standard_error_s
224.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
226.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
228.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
230.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
232.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
234.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
236.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
238.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
240.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
242.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
